A006_02_DDK_PA,662,16537
A006_02_DDK_PA,16538,41674
A006_02_DDK_PA,41675,44320
A006_02_DDK_PA,44321,50053
A006_02_DDK_PA,50054,57109
A006_02_DDK_PA,57110,71662
A006_02_DDK_PA,71663,147514
A006_02_DDK_PA,147515,154570
A006_02_DDK_PA,154571,161185
A006_02_DDK_PA,161186,167359
A006_02_DDK_PA,167360,175297
A006_02_DDK_PA,175298,182353
A006_02_DDK_PA,182354,188527
A006_02_DDK_PA,188528,196465
A006_02_DDK_PA,196466,202639
A006_02_DDK_PA,202640,209695
A006_02_DDK_PA,209696,216751
A006_02_DDK_PA,216752,223807
A006_02_DDK_PA,223808,230863
A006_02_DDK_PA,230864,237919
A006_02_DDK_PA,237920,244975
A006_02_DDK_PA,244976,251590
A006_02_DDK_PA,251591,258646
A006_02_DDK_PA,258647,267025
A006_02_DDK_PA,267026,273199
A006_02_DDK_PA,273200,280696
A006_02_DDK_PA,280697,288193
A006_02_DDK_PA,288194,294367
A006_02_DDK_PA,294368,301864
A006_02_DDK_PA,301865,308920
A006_02_DDK_PA,308921,315535
A006_02_DDK_PA,315536,323032
A006_02_DDK_PA,323033,330970
A006_02_DDK_PA,330971,337585
A006_02_DDK_PA,337586,344200
A006_02_DDK_PA,344201,353461
A006_02_DDK_PA,353462,360958
A006_02_DDK_PA,360959,367132
A006_02_DDK_PA,367133,372865
A006_02_DDK_PA,372866,379921
A006_02_DDK_PA,379922,394474
A006_02_DDK_PA,394475,401530
A006_02_DDK_PA,401531,408586
A006_02_DDK_PA,408587,416965
A006_02_DDK_PA,416966,423580
A006_02_DDK_PA,423581,430195
A006_02_DDK_PA,430196,435928
A006_02_DDK_PA,435929,443425
A006_02_DDK_PA,443426,450922
A006_02_DDK_PA,450923,461506
A006_02_DDK_PA,461507,467239
A006_02_DDK_PA,467240,474736
A006_02_DDK_PA,474737,482674
A006_02_DDK_PA,482675,490171
A006_02_DDK_PA,490172,505165
A006_02_DDK_PA,505166,513103
A006_02_DDK_PA,513104,520159
A006_02_DDK_PA,520160,521041
A006_02_DDK_PA,521042,528097
A006_02_DDK_PA,528098,535153
A006_02_DDK_PA,535154,542650
A006_02_DDK_PA,542651,549706
A006_02_DDK_PA,549707,557644
A006_02_DDK_PA,557645,566023
A006_02_DDK_PA,566024,573079
A006_02_DDK_PA,573080,579694
A006_02_DDK_PA,579695,587632
A006_02_DDK_PA,587633,603508
A006_02_DDK_PA,603509,610564
A006_02_DDK_PA,610565,618061
A006_02_DDK_PA,618062,625999
A006_02_DDK_PA,626000,634819
A006_02_DDK_PA,634820,643639
A006_02_DDK_PA,643640,653341
A006_02_DDK_PA,653342,661720
A006_02_DDK_PA,661721,662602
A006_02_DDK_PA,662603,674068
A006_02_DDK_PA,674069,692149
A006_02_DDK_PA,692150,711112
A006_02_DDK_PA,711113,719932
A006_02_DDK_PA,719933,726988
A006_02_DDK_PA,726989,733162
A006_02_DDK_PA,733163,742423
A008_02_DDK_PA,662,75190
A008_02_DDK_PA,75191,85333
A008_02_DDK_PA,85334,94594
A008_02_DDK_PA,94595,103414
A008_02_DDK_PA,103415,112675
A008_02_DDK_PA,112676,121054
A008_02_DDK_PA,121055,130756
A008_02_DDK_PA,130757,140899
A008_02_DDK_PA,140900,150160
A008_02_DDK_PA,150161,159421
A008_02_DDK_PA,159422,169123
A008_02_DDK_PA,169124,178825
A008_02_DDK_PA,178826,188968
A008_02_DDK_PA,188969,198670
A008_02_DDK_PA,198671,208372
A008_02_DDK_PA,208373,217633
A008_02_DDK_PA,217634,227335
A008_02_DDK_PA,227336,237478
A008_02_DDK_PA,237479,248062
A008_02_DDK_PA,248063,258205
A008_02_DDK_PA,258206,268789
A008_02_DDK_PA,268790,273640
